_id,correlation
2542000,"{'CNAE_PRINCIPAL': 2542000, 'CNAE_SECUNDARIA': 4744099, 'count': 1}"
2542000,"{'CNAE_PRINCIPAL': 2542000, 'CNAE_SECUNDARIA': '2539001,4399103,4744001', 'count': 1}"
2542000,"{'CNAE_PRINCIPAL': 2542000, 'count': 2}"
2542000,"{'CNAE_PRINCIPAL': 2542000, 'CNAE_SECUNDARIA': '9529105,2512800,2532201,2091600', 'count': 1}"
8630503,"{'CNAE_PRINCIPAL': 8630503, 'CNAE_SECUNDARIA': 8640207, 'count': 1}"
8630503,"{'CNAE_PRINCIPAL': 8630503, 'CNAE_SECUNDARIA': '8630504,8650002,8650003,8650004,8660700,8690903,8690904,9602502', 'count': 1}"
8630503,"{'CNAE_PRINCIPAL': 8630503, 'count': 2}"
4721103,"{'CNAE_PRINCIPAL': 4721103, 'CNAE_SECUNDARIA': '4755502,4781400', 'count': 1}"
4721103,"{'CNAE_PRINCIPAL': 4721103, 'count': 1}"
4721103,"{'CNAE_PRINCIPAL': 4721103, 'CNAE_SECUNDARIA': '4723700,4713002,4721102,5611203,1091101', 'count': 1}"
9493600,"{'CNAE_PRINCIPAL': 9493600, 'CNAE_SECUNDARIA': 6399200, 'count': 1}"
9529101,"{'CNAE_PRINCIPAL': 9529101, 'count': 1}"
6399200,"{'CNAE_PRINCIPAL': 6399200, 'count': 1}"
6399200,"{'CNAE_PRINCIPAL': 6399200, 'CNAE_SECUNDARIA': '5620104,5812302,5912099,5812301,5813100,7420001', 'count': 1}"
4711301,"{'CNAE_PRINCIPAL': 4711301, 'CNAE_SECUNDARIA': '4691500,4639701,4761002', 'count': 1}"
4543900,"{'CNAE_PRINCIPAL': 4543900, 'count': 1}"
4543900,"{'CNAE_PRINCIPAL': 4543900, 'CNAE_SECUNDARIA': '4732600,4541206,4541207,4530705', 'count': 1}"
4543900,"{'CNAE_PRINCIPAL': 4543900, 'CNAE_SECUNDARIA': 4541206, 'count': 2}"
3314710,"{'CNAE_PRINCIPAL': 3314710, 'CNAE_SECUNDARIA': '4665600,7820500', 'count': 1}"
8219999,"{'CNAE_PRINCIPAL': 8219999, 'count': 4}"
8219999,"{'CNAE_PRINCIPAL': 8219999, 'CNAE_SECUNDARIA': 9700500, 'count': 1}"
8219999,"{'CNAE_PRINCIPAL': 8219999, 'CNAE_SECUNDARIA': '5812302,5812301,5912099,5813100', 'count': 1}"
8219999,"{'CNAE_PRINCIPAL': 8219999, 'CNAE_SECUNDARIA': '5620102,8211300', 'count': 1}"
4612500,"{'CNAE_PRINCIPAL': 4612500, 'count': 1}"
4761002,"{'CNAE_PRINCIPAL': 4761002, 'count': 3}"
4330404,"{'CNAE_PRINCIPAL': 4330404, 'CNAE_SECUNDARIA': 4399103, 'count': 1}"
4330404,"{'CNAE_PRINCIPAL': 4330404, 'CNAE_SECUNDARIA': 1412602, 'count': 1}"
4330404,"{'CNAE_PRINCIPAL': 4330404, 'CNAE_SECUNDARIA': 8230001, 'count': 1}"
4330404,"{'CNAE_PRINCIPAL': 4330404, 'CNAE_SECUNDARIA': '8599699,8592999', 'count': 1}"
4330404,"{'CNAE_PRINCIPAL': 4330404, 'CNAE_SECUNDARIA': '4321500,4399103', 'count': 1}"
4330404,"{'CNAE_PRINCIPAL': 4330404, 'count': 5}"
4330404,"{'CNAE_PRINCIPAL': 4330404, 'CNAE_SECUNDARIA': '4330405,4322301,4321500,4399103', 'count': 1}"
9001904,"{'CNAE_PRINCIPAL': 9001904, 'CNAE_SECUNDARIA': '9001901,8230001,9329899', 'count': 1}"
6204000,"{'CNAE_PRINCIPAL': 6204000, 'count': 1}"
8599699,"{'CNAE_PRINCIPAL': 8599699, 'count': 7}"
8599699,"{'CNAE_PRINCIPAL': 8599699, 'CNAE_SECUNDARIA': '9001901,8230002', 'count': 1}"
8599699,"{'CNAE_PRINCIPAL': 8599699, 'CNAE_SECUNDARIA': '8599605,8230001,7911200,8599604,7319002,7990200', 'count': 1}"
8599699,"{'CNAE_PRINCIPAL': 8599699, 'CNAE_SECUNDARIA': 8599604, 'count': 1}"
8599699,"{'CNAE_PRINCIPAL': 8599699, 'CNAE_SECUNDARIA': 8599605, 'count': 1}"
8599699,"{'CNAE_PRINCIPAL': 8599699, 'CNAE_SECUNDARIA': '4541206,7911200,7319099', 'count': 1}"
